radius_mean,compactness_mean,concave_points_mean,compactness_worst,concavity_worst,concave_points_worst
13.74,0.06376,0.01329,0.1824,0.1564,0.06019
13.37,0.07325,0.028,0.2531,0.3308,0.08978
14.69,0.1836,0.063,0.3635,0.3219,0.1108
12.91,0.05366,0.02377,0.1506,0.1764,0.08235
13.62,0.06747,0.02443,0.1517,0.1049,0.07174
17.35,0.0629,0.02837,0.1486,0.1211,0.08235
15.0,0.1096,0.0378,0.3627,0.3402,0.1379
11.8,0.06232,0.01638,0.1726,0.1449,0.05356
14.53,0.09242,0.06495,0.1478,0.1373,0.1069
13.71,0.107,0.03783,0.2566,0.1935,0.1284
11.36,0.05313,0.021,0.1622,0.1811,0.08698
8.726,0.08201,0.01924,0.2364,0.2456,0.105
16.11,0.1137,0.05943,0.2236,0.2802,0.1216
18.49,0.1317,0.09183,0.3089,0.3533,0.1663
13.71,0.1645,0.05985,0.3682,0.2678,0.1556
14.47,0.123,0.0389,0.4202,0.404,0.1205
13.54,0.08129,0.04781,0.1773,0.239,0.1288
15.46,0.1555,0.1097,0.3583,0.583,0.1827
12.85,0.08316,0.01867,0.1936,0.1838,0.05601
19.21,0.1267,0.08994,0.3511,0.3879,0.2091
12.47,0.0763,0.02369,0.2506,0.2028,0.1053
12.46,0.1014,0.03099,0.2158,0.1904,0.07625
10.86,0.04227,0.0,0.07348,0.0,0.0
11.37,0.05008,0.02173,0.09708,0.07529,0.06203
18.81,0.05884,0.05843,0.116,0.221,0.1294
13.49,0.07698,0.03384,0.1711,0.2282,0.1282
9.567,0.04087,0.01667,0.09515,0.07161,0.07222
17.14,0.2276,0.1401,0.3949,0.3853,0.255
11.06,0.04768,0.007246,0.1879,0.2079,0.05556
14.61,0.03515,0.01877,0.07087,0.04746,0.05813
7.691,0.1199,0.01364,0.3064,0.3393,0.05
19.07,0.219,0.09961,0.7444,0.7242,0.2493
13.69,0.06374,0.02031,0.2096,0.1346,0.06987
19.16,0.1453,0.09664,0.3841,0.5754,0.1872
19.8,0.1306,0.08691,0.3235,0.3617,0.182
11.46,0.07694,0.01502,0.1789,0.1226,0.05509
12.06,0.05794,0.008488,0.1352,0.04506,0.05093
13.15,0.08498,0.03483,0.2256,0.3009,0.09722
13.61,0.07862,0.03085,0.2884,0.3796,0.1329
10.26,0.08066,0.02438,0.2246,0.1783,0.08333
9.333,0.05605,0.01282,0.08298,0.07993,0.02564
11.06,0.1071,0.04268,0.2031,0.1256,0.09514
10.66,0.04302,0.0,0.06791,0.0,0.0
11.84,0.1516,0.05182,0.5775,0.6956,0.1546
10.51,0.1303,0.03068,0.2049,0.1295,0.06136
12.67,0.07664,0.02107,0.1212,0.102,0.05602
11.08,0.05743,0.02583,0.0824,0.03938,0.04306
11.04,0.07079,0.02074,0.1982,0.1553,0.06754
12.43,0.03454,0.01699,0.04712,0.02237,0.02832
14.71,0.1365,0.08123,0.429,0.3587,0.1834
14.87,0.08345,0.04951,0.1388,0.17,0.1017
16.65,0.1457,0.0917,0.3578,0.4695,0.2095
16.13,0.2022,0.1028,0.4233,0.4784,0.2073
12.87,0.06219,0.01615,0.1808,0.1992,0.0578
9.465,0.07773,0.01504,0.1664,0.09412,0.06517
21.75,0.1961,0.1088,0.4725,0.5807,0.1841
13.16,0.05275,0.01256,0.1646,0.07698,0.04195
10.91,0.04721,0.01369,0.07506,0.02884,0.03194
12.25,0.052,0.01261,0.1804,0.123,0.06335
12.75,0.1117,0.02995,0.1979,0.1423,0.08045
14.58,0.08918,0.04349,0.1928,0.2492,0.09186
12.27,0.03398,0.0,0.05213,0.0,0.0
12.16,0.07838,0.01527,0.2279,0.162,0.0569
14.27,0.1154,0.06139,0.2733,0.4234,0.1362
15.06,0.1553,0.08815,0.4203,0.5203,0.2115
27.22,0.1914,0.1878,0.4034,0.534,0.2688
12.99,0.09965,0.02098,0.1975,0.145,0.0585
13.27,0.05055,0.02648,0.1238,0.135,0.1001
21.16,0.1022,0.08632,0.26,0.3155,0.2009
13.87,0.1018,0.02369,0.2037,0.1377,0.06845
13.87,0.05492,0.02088,0.1008,0.05285,0.05556
20.16,0.08564,0.07726,0.1537,0.2606,0.1425
13.59,0.04052,0.01238,0.07622,0.106,0.05185
12.45,0.17,0.08089,0.5249,0.5355,0.1741
8.95,0.1243,0.02308,0.1879,0.1544,0.03846
18.65,0.1686,0.1009,0.509,0.7345,0.2378
13.65,0.08711,0.02563,0.2474,0.1759,0.08056
15.61,0.05616,0.02847,0.1807,0.226,0.08568
