radius_mean,concave_points_mean,compactness_mean,concave_points_worst,concavity_worst,compactness_worst
17.99,0.1471,0.2776,0.2654,0.7119,0.6656
20.57,0.07017,0.07864,0.186,0.2416,0.1866
19.69,0.1279,0.1599,0.243,0.4504,0.4245
11.42,0.1052,0.2839,0.2575,0.6869,0.8663
20.29,0.1043,0.1328,0.1625,0.4,0.205
12.45,0.08089,0.17,0.1741,0.5355,0.5249
18.25,0.074,0.109,0.1932,0.3784,0.2576
13.71,0.05985,0.1645,0.1556,0.2678,0.3682
13,0.09353,0.1932,0.206,0.539,0.5401
12.46,0.08543,0.2396,0.221,1.105,1.058
16.02,0.03323,0.06669,0.09975,0.1459,0.1551
6.981,0.03384,0.07568,0,0,0.1202
7.691,0.03384,0.1199,0.05,0.3393,0.3064
7.729,0.03384,0.04878,0,0,0.0834
7.76,0.03384,0.04362,0,0,0.06444
8.196,0.005917,0.05943,0.02564,0.0688,0.1357
8.219,0.03384,0.1305,0.07879,0.5381,0.431
8.571,0.03384,0.07632,0.08512,0.1754,0.2235
